ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
2104,Don't Hassel the Hoff: The Autobiography,"The ""Los Angeles Times ""called him a ""counterculture icon,"" and ""TV Guide"" dubbed him one of ""TV's Ten Most Powerful Stars,"" but true aficionados simply call him ""The Hoff."" "" "" ""Don't Hassel the Hoff"" follows David Hasselhoff's phenomenal career, from his earliest childhood role in Peter Pan to his latest adventure, starring in Mel Brooks's Tony award-winning musical, ""The Producers."" There is no better time to celebrate Hasselhoff's life and a career that continues to grow and thrive. As the star of the extremely popular classic television shows, """"Baywatch"" ""and """"Knight Rider, """" Hasselhoff is an international mega-star, with platinum album sales and starring roles on Broadway and London's West End. As this fascinating memoir reveals, there's more to this handsome superstar than great hair, and legs that look good while running down a beach. ""The Hoff"" is also a smart, caring man with a huge heart. ""This book is my opportunity to print something from my heart, to tell the truth about what happened to me on the long and winding road from Baltimore to Baywatch to Broadway - and beyond. And the truth is not to be found in tabloid stories but in my actions: I am a good father and tried to be a good husband. I love people and the emotional rollercoaster that goes with human relationships. I love all the bewildering, crazy and wonderful things that life has to offer. This book is about my successes and my failures, my strengths and my weaknesses. And, above all, it is about the hope contained in the Knight Rider slogan: ""One man can make a difference."" --David Hasselhoff Full of behind-the-scenes looks at Hasselhoff's television series, celebrations of his proudest moments, and the truths about his struggles with relationships and alcohol, ""Don't Hassel the Hoff"" is both highly entertaining and deeply personal, making this an engrossing page-turner from start to finish. Long live ""The Hoff.""",0312641826,9780312641825,304,David Hasselhoff, , ,5.00,1,0,St. Martin's Griffin,January 1st 2011,Paperback,English,2894-15172811-don-t-hassel-the-hoff.html
2105,Straight Left: An Autobiography,"An insider's view of political events in Northern Ireland in the 1970s, the autobiography of the Belfast socialist and founder-member of the Social Democrat and Labour Party. Devlin was one of the most fearless and colorful characters ever to grace the Northern Ireland political stage; his book should be essential reading for students of modern Irish history. Devlin grew up in poverty - stricken Belfast in the '20s and '30s. He was born into a highly politicized family, his mother a nationalist, his father a socialist. He soon found himself interned for IRA membership, an experience that radically transformed his life. Turning his back on violence, he became one of Belfast's most committed and hard-working union activists. During the maelstrom of the Troubles he was at the center of many key events that shaped Northern Ireland's destiny.",0856405140,9780856405143,0,Paddy Devlin, , ,4.00,2,1,Blackstaff Press,June 28th 2000,Paperback,English,2895-1445524.Straight_Left.html
2106,Rhinestone Cowboy An Autobiography,"With extraordinary candor intended to set the record straight, one of music's most popular performers tells of his sojourn amid the decadence and destructive trappings of fame - the bucks, the booze, the cocaine, the women - and of the religious awakening and unconditionally loving marriage that literally saved his life. Glen Campbell's boy-next-door persona belied his hedonistic, near-fatal lifestyle. It all started like a dream - the rise from ruthless poverty as one of twelve children in a small Arkansas town and the against-all struggle for stardom, first as a brilliant studio musician (behind artists such as Sinatra, Elvis, Ray Charles, and Nat King Cole), then as a solo performer who in the sixties and seventies sold some 45 million records (including the timeless classics ""Wichita Lineman,"" ""Gentle on My Mind,"" ""By the Time I Get to Phoenix,"" and, of course, ""Rhinestone Cowboy"") and hosted his own top-rated TV show. Too quickly, though, the dream became a nightmare of mad spending, multiple marriages, and abusive and all-too-public affairs, as well as wildly escalating alcohol and cocaine dependencies that threatened not only his career but his very existence. Now a Christian and in recovery, he has stepped back into the spotlight a whole man at last. With the help of bestselling author Tom Carter, Glen Campbell has given us a book that is both a star-studded show-biz memoir and a spiritual testimony that radiates great faith and emotion. Rhinestone Cowboy is his personal gift of thanks to the millions who have supported him through decades of good times and bad - and to the vast new audience who have grown to know him through his frequent appearances on cable television's 700 Club and other Christian TV shows. ""A lot of people are going to be surprised by my story, and I hope that a lot are going to be inspired,"" Campbell declares. ""All I know for sure is that it's time to tell it. And as honestly as I can, that's just what I've gone and done.""",0849911761,9780849911767,0,Glen Campbell,Tom Carter, ,3.00,1,0,W Publishing Group,June 1st 1994,Library Binding,English,2896-7437137-rhinestone-cowboy-an-autobiography.html
2107,Mr. Chameleon: An Autobiography, ,1770091041,9781770091047,424,Tatamkulu Afrika, , ,0.00,0,0,Jacana Media,,Paperback,English,2897-3241994-mr-chameleon.html
2108,Tricks Of Memory: An Autobiography, ,029781186X,9780297811862,0,Peregrine Worsthorne, , ,3.50,2,0,Trafalgar Square Publishing,,Hardcover,English,2898-1194208.Tricks_Of_Memory.html
2109,Within Whicker's World: An Autobiography, ,0241107474,9780241107478,390,Alan Whicker, , ,4.67,3,1,Elm Tree Books,January 1st 1982,Unknown Binding,English,2899-4355122-within-whicker-s-world.html
2110,Crusade for Justice: The Autobiography of Ida B. Wells,"Ida B. Wells (1862-1931) was one of the foremost crusaders against black oppression. This engaging memoir tells of her private life as mother of a growing family as well as her public activities as teacher, lecturer, and journalist in her fight against attitudes and laws oppressing blacks. ""No student of black history should overlook Crusade for Justice .""—William M. Tuttle, Jr., Journal of American History ""Besides being the story of an incredibly courageous and outspoken black woman in the face of innumerable odds, the book is a valuable contribution to the social history of the United States and to the literature of the women's movement as well.""—Elizabeth Kolmer, American Quarterly ""[Wells was] a sophisticated fighter whose prose was as though as her intellect.""—Walter Goodman, New York Times ""An illuminating narrative of a zealous, race-conscious, civic- and church-minded black woman reformer, whose life story is a significant chapter in the history of Negro-White relations.""—Thelma D. Perry, Negro History Bulletin",0226893448,9780226893440,466,Ida B. Wells-Barnett,Ada B. Wells,Alfreda M. Duster,4.17,127,10,University Of Chicago Press,July 23rd 1991,Paperback,English,290-203938.Crusade_for_Justice.html
2111,The Struggle That Must Be: An Autobiography, ,0025350404,9780025350403,350,Harry Edwards, , ,4.00,2,1,MacMillan Publishing Company,January 1st 1980,Hardcover,English,2900-638685.The_Struggle_That_Must_Be.html
2112,The Calling of a Cuckoo: Not Quite an Autobiography, ,1441104097,9781441104090,224,David Edward Jenkins, , ,0.00,0,0,Continuum,December 26th 2002,ebook, ,2901-16063016-the-calling-of-a-cuckoo.html
2113,Changing patterns: an atypical autobiography, ,0434098302,9780434098309,282,Frank Macfarlane Burnet, , ,3.00,1,1,Heinemann,May 1969, , ,2902-5857204-changing-patterns.html
2114,The Autobiography of Karl Von Dittersdorf,"This historic book may have numerous typos and missing text. Purchasers can usually download a free scanned copy of the original book (without typos) from the publisher. Not indexed. Not illustrated. 1896 edition. Excerpt: ... CHAPTER XIII. Dismissal of the band--Count Durazzo--My journey to Italy with Gluck -- Marini -- Sojourn in Venice and Bologna--Farinelli--Nicolini and the blind beggar-- A deputation--Father Martin--Panic--Hurried return to Vienna--Lolli and I are rivals. The Prince, my patron, was great-uncle of the reigning Duke of Sachsen Hildburghausen, who died about this time, --the hereditary successor to the Dukedom being a child between six and seven years of age. The result was, that not only the guardianship of the ward devolved upon the Prince, but the administration and government of the Duchy as well. He willingly undertook both offices, and moved to Hildburghausen accordingly. As he found an orchestra ready made at this Court, and as he had his hands full with the education of the hereditary Prince and the administration of the estate, he felt obliged to dismiss the greater part of his own band. To prevent their losing a livelihood, he agreed with Count Durazzo, then the chief director of the Court Theatre, that we should be taken on by him. The contract bound us for three years' service, during which we were obliged to play in the Opera House and at Court, for the same pay that we had received in the Prince's service. No one suffered more than I did by this arrangement, for I had to play almost daily from 10 a.m. to 2 p.m. at operatic and ballet rehearsals, not to mention theatrical performances from 6.30 to 10.30 of an evening, as well as accompanying at the theatrical concerts, and playing solos every fortnight. I had also bound myself to appear before the Emperor and the Court on fite and gala days. One may easily suppose that, with so much hard work on hand, I had no time for teaching or attending private concerts, so that I was..",1230431071,9781230431079,64,Karl Ditters Von Dittersdorf, , ,3.00,1,0,Theclassics.Us,September 12th 2013,Paperback, ,2903-20280612-the-autobiography-of-karl-von-dittersdorf.html
2115,James Toseland: The Autobiography,"James Toseland, youngest ever World Superbike Champion at just 23 years old, has rocketed into a league of biking legends, following in the footsteps of Carl Fogarty, Troy Bayliss and Neil Hodgson. Toseland's success has been driven by a lifetime of tragedy. Using racing as a release, he became a fearless daredevil and had moved his way up through the ranks of British Superbikes by the time he was sixteen. But there was even more turmoil to come - a career of dramatic crashes and a collision in Monza, Italy, which left James seriously injured and his Honda team-mate dead. Winning his second Superbike championship in 2007, and about to make the move to MotoGP for 2008, James' story is one of genius, tragedy and an overwhelming will to succeed.",0753513331,9780753513330,304,James Toseland, , ,4.67,3,0,Virgin Books,March 27th 2008,Paperback,English,2904-3288326-james-toseland.html
2116,"Leslie Thompson, An Autobiography", ,0948775009,9780948775000,0,Lesley Thompson, , ,4.50,2,0, , , , ,2905-1126837.Leslie_Thompson_An_Autobiography.html
2117,Pat Jennings: An Autobiography, ,0002180693,9780002180696,192,Pat Jennings, , ,5.00,2,0,HarperCollins Publishers Ltd,March 24th 1983,Hardcover,English,2906-21068781-pat-jennings.html
